step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/weighted_f1_score
364,308712,728,0.007358821609813992,1.0,1.0,,,,,
365,309114,730,0.02294520118625187,1.0,1.0,,,,,
366,309868,732,0.020290526447896945,1.0,1.0,,,,,
367,310958,734,0.02121926169784274,1.0,1.0,,,,,
368,311408,736,0.029009598309652832,0.5,0.75,,,,,
369,312162,738,0.027831764080741818,1.0,1.0,0.024825845755940674,1.0,1.0,,
370,312788,740,0.020378723686868768,1.0,1.0,,,,,
371,313398,742,0.020373785448918363,1.0,1.0,,,,,
372,313720,744,0.020466401394071,1.0,1.0,,,,,
373,314858,746,0.017371426988449176,1.0,1.0,,,,,
374,315756,748,0.01997719047517551,0.5,0.75,,,,,
375,316750,750,0.01735882919165805,1.0,1.0,,,,,
376,317040,752,0.03313187891504033,0.5,0.75,,,,,
377,317650,754,0.023753224061949286,1.0,1.0,0.023918339947081528,1.0,1.0,,
378,318244,756,0.020088199956714587,1.0,1.0,,,,,
379,319510,758,0.014936762350740835,1.0,1.0,,,,,
380,319928,760,0.03055205736331538,0.5,0.75,,,,,
381,320586,762,0.023122882965212407,1.0,1.0,,,,,
382,321052,764,0.015252377965399978,1.0,1.0,,,,,
383,321390,766,0.019484533607670267,1.0,1.0,,,,,
384,322368,768,0.022595411312790404,1.0,1.0,,,,,
385,322658,770,0.025428064085440887,1.0,1.0,0.022467652431896704,1.0,1.0,,
386,323796,772,0.011137687761248589,1.0,1.0,,,,,
387,325846,774,0.020701449451876075,1.0,1.0,,,,,
388,326120,776,0.02832934405312378,1.0,1.0,,,,,
389,327226,778,0.016835146975390933,1.0,1.0,,,,,
390,327900,780,0.018257533369987006,1.0,1.0,,,,,
391,328254,782,0.022744497827469456,1.0,1.0,,,,,
392,328784,784,0.023322995177089374,1.0,1.0,,,,,
393,330178,786,0.018612451721480607,1.0,1.0,0.022416102302013314,1.0,1.0,,
394,330788,788,0.027200939607498878,1.0,1.0,,,,,
395,330950,790,0.029189091212658235,0.5,0.75,,,,,
396,331656,792,0.020727858312236343,1.0,1.0,,,,,
397,332522,794,0.021108797803006854,0.5,0.75,,,,,
398,334540,796,0.012919429256465205,1.0,1.0,,,,,
399,335198,798,0.01314897562492106,1.0,1.0,,,,,
400,336880,800,0.01578739643291157,1.0,1.0,,,,,
401,337586,802,0.021262825520689563,1.0,1.0,0.012407878416284308,0.0,0.5,,
402,337860,804,0.02424975928930293,1.0,1.0,,,,,
403,338438,806,0.02468111040639997,1.0,1.0,,,,,
404,338856,808,0.028364922929080286,1.0,1.0,,,,,
405,339578,810,0.020277033382650793,0.5,0.75,,,,,
406,340012,812,0.020818228727140297,1.0,1.0,,,,,
407,340590,814,0.017657478227626297,1.0,1.0,,,,,
408,340896,816,0.015685657305848987,1.0,1.0,,,,,
409,341522,818,0.024405678661840704,1.0,1.0,0.029282409818109142,0.5,0.75,,
410,343700,820,0.016208345691342475,0.5,0.75,,,,,
411,344374,822,0.024630976508760418,0.0,0.5,,,,,
412,345560,824,0.01605940334818262,1.0,1.0,,,,,
413,346314,826,0.021742536826340197,1.0,1.0,,,,,
414,346796,828,0.01919697433621574,1.0,1.0,,,,,
415,347726,830,0.02462776477356093,0.5,0.75,,,,,
416,348624,832,0.018700151609597405,1.0,1.0,,,,,
417,348946,834,0.02024540538227757,1.0,1.0,0.02468436320535187,1.0,1.0,,
418,349652,836,0.030639099815173165,0.5,0.75,,,,,
419,349798,838,0.025012455367038663,1.0,1.0,,,,,
420,351736,840,0.01789653336247983,1.0,1.0,,,,,
421,352586,842,0.018038472932407696,1.0,1.0,,,,,
